ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1015,2,50,1,5,5,0,1,1,0,16,97,14,97,12,12,1,11,2,2,0,1,0,2,1,1,1,1,0,2,1,2,2
1016,1,61,1,1,3,2,2,2,0,14,12,12,12,12,12,1,1,2,2,1,1,2,1,2,2,0,0,2,0,0,0,0
1017,2,19,1,5,1,0,4,4,0,13,14,18,97,3,13,1,99,2,2,0,9,1,1,3,3,0,0,1,1,1,2,1
1018,2,42,2,5,3,3,3,1,0,14,12,12,97,12,12,1,4,2,2,0,2,0,3,1,2,1,0,0,1,1,2,1
1019,1,30,3,1,2,2,4,2,2,13,12,16,13,12,12,1,8,2,2,7,1,3,1,3,2,0,0,2,1,1,2,1
1020,2,60,1,5,4,0,2,2,0,18,12,8,97,0,10,7,-1,2,2,0,0,3,3,1,1,1,1,2,0,0,0,0
1021,2,46,2,5,2,3,3,2,0,13,12,97,97,12,12,1,0.75,2,2,0,1,0,2,1,1,1,1,0,0,0,0,0
1022,2,35,1,5,3,2,2,1,1,12,15,12,97,11,12,1,1,2,2,0,1,0,2,1,1,1,1,0,0,0,0,0
1023,2,75,2,2,7,0,1,1,0,12,9,98,97,0,10,5,-1,2,2,0,0,2,1,1,1,1,1,2,1,1,8,8
1024,2,35,1,1,1,0,2,2,0,10,12,12,12,0,8,5,-1,0,0,4,0,4,2,2,2,0,0,2,0,0,0,0
1025,1,34,1,1,3,4,8,4,3,16,12,12,16,13,13,1,5,2,1,7,1,2,2,1,1,2,2,1,1,1,2,1
